index,doggo,floofer,name,pupper,puppo,rating_denominator,rating_numerator,source,timestamp,tweet_id,stage,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
0.0,,,Phineas,,,10.0,13.0,Twitter for iPhone,2017-08-01 16:23:56+00:00,892420643555336193,,,,,,,,,,,,37371.0,8059.0
1.0,,,Tilly,,,10.0,13.0,Twitter for iPhone,2017-08-01 00:17:27+00:00,892177421306343426,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,32133.0,5988.0
2.0,,,Archie,,,10.0,12.0,Twitter for iPhone,2017-07-31 00:18:03+00:00,891815181378084864,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,24221.0,3957.0
3.0,,,Darla,,,10.0,13.0,Twitter for iPhone,2017-07-30 15:58:51+00:00,891689557279858688,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False,40678.0,8234.0
4.0,,,Franklin,,,10.0,12.0,Twitter for iPhone,2017-07-29 16:00:24+00:00,891327558926688256,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,38906.0,8912.0
5.0,,,,,,10.0,13.0,Twitter for iPhone,2017-07-29 00:08:17+00:00,891087950875897856,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,19556.0,2968.0
6.0,,,Jax,,,10.0,13.0,Twitter for iPhone,2017-07-28 16:27:12+00:00,890971913173991426,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,11421.0,1957.0
7.0,,,,,,10.0,13.0,Twitter for iPhone,2017-07-28 00:22:40+00:00,890729181411237888,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True,63009.0,17974.0
8.0,,,Zoey,,,10.0,13.0,Twitter for iPhone,2017-07-27 16:25:51+00:00,890609185150312448,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,26896.0,4064.0
9.0,doggo,,Cassie,,,10.0,14.0,Twitter for iPhone,2017-07-26 15:59:51+00:00,890240255349198849,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,30833.0,7012.0
